NAME,YEAR,industry_name,industry_values,
"Anne Arundel County, Maryland",2011,"Educational services, and health care and social assistance",55704,
"Howard County, Maryland",2011,"Educational services, and health care and social assistance",36976,
"Prince George's County, Maryland",2011,"Educational services, and health care and social assistance",97395,
"Montgomery County, Maryland",2011,"Educational services, and health care and social assistance",110280,
"District of Columbia, District of Columbia",2011,"Educational services, and health care and social assistance",62135,
"Calvert County, Maryland",2011,"Educational services, and health care and social assistance",8450,
"Marin County, California",2011,"Educational services, and health care and social assistance",29345,
"San Francisco County, California",2011,"Educational services, and health care and social assistance",83822,
"San Mateo County, California",2011,"Educational services, and health care and social assistance",80829,
"Alameda County, California",2011,"Educational services, and health care and social assistance",162364,
"Contra Costa County, California",2011,"Educational services, and health care and social assistance",107824,
"Santa Clara County, California",2011,"Educational services, and health care and social assistance",156752,
"Anne Arundel County, Maryland",2011,"Arts, entertainment, and recreation, and accommodation and food services",22404,
"Howard County, Maryland",2011,"Arts, entertainment, and recreation, and accommodation and food services",9309,
"Prince George's County, Maryland",2011,"Arts, entertainment, and recreation, and accommodation and food services",39719,
"Montgomery County, Maryland",2011,"Arts, entertainment, and recreation, and accommodation and food services",41021,
"District of Columbia, District of Columbia",2011,"Arts, entertainment, and recreation, and accommodation and food services",26050,
"Calvert County, Maryland",2011,"Arts, entertainment, and recreation, and accommodation and food services",3243,
"Marin County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",11032,
"San Francisco County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",58235,
"San Mateo County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",34173,
"Alameda County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",68460,
"Contra Costa County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",37385,
"Santa Clara County, California",2011,"Arts, entertainment, and recreation, and accommodation and food services",66300,
"Anne Arundel County, Maryland",2011,"Other services, except public administration",14919,
"Howard County, Maryland",2011,"Other services, except public administration",7086,
"Prince George's County, Maryland",2011,"Other services, except public administration",29921,
"Montgomery County, Maryland",2011,"Other services, except public administration",36703,
"District of Columbia, District of Columbia",2011,"Other services, except public administration",28427,
"Calvert County, Maryland",2011,"Other services, except public administration",2477,
"Marin County, California",2011,"Other services, except public administration",7445,
"San Francisco County, California",2011,"Other services, except public administration",25360,
"San Mateo County, California",2011,"Other services, except public administration",17649,
"Alameda County, California",2011,"Other services, except public administration",37458,
"Contra Costa County, California",2011,"Other services, except public administration",23834,
"Santa Clara County, California",2011,"Other services, except public administration",37164,
"Anne Arundel County, Maryland",2011,Public administration,37395,
"Howard County, Maryland",2011,Public administration,19252,
"Prince George's County, Maryland",2011,Public administration,70043,
"Montgomery County, Maryland",2011,Public administration,62461,
"District of Columbia, District of Columbia",2011,Public administration,56203,
"Calvert County, Maryland",2011,Public administration,6486,
"Marin County, California",2011,Public administration,4217,
"San Francisco County, California",2011,Public administration,14167,
"San Mateo County, California",2011,Public administration,13607,
"Alameda County, California",2011,Public administration,25306,
"Contra Costa County, California",2011,Public administration,23694,
"Santa Clara County, California",2011,Public administration,20848,
"Anne Arundel County, Maryland",2012,"Agriculture, forestry, fishing and hunting, and mining",1195,
"Howard County, Maryland",2012,"Agriculture, forestry, fishing and hunting, and mining",197,
"Prince George's County, Maryland",2012,"Agriculture, forestry, fishing and hunting, and mining",885,
"Montgomery County, Maryland",2012,"Agriculture, forestry, fishing and hunting, and mining",967,
